Rk,Season,Team,W,Completions,PassAttempts,PassYD,PassTD,Int,RushYD,RushTD,PointsAgainst,XPA,XPM,FGA,FGM,SafetiesByTeam
70,2012,TEN,6,318,540,3323,17,16,1687,10,471,35,35,31,25,1
71,2011,TEN,9,353,584,3923,22,14,1438,8,317,34,34,32,29,0
72,2010,TEN,6,273,474,3107,24,15,1727,13,339,38,38,26,24,2
73,2009,TEN,8,271,476,3031,16,15,2592,19,402,37,37,32,27,0
74,2008,TEN,13,265,453,2819,13,9,2199,24,234,40,40,33,29,0
75,2007,TEN,10,288,464,2878,9,17,2109,17,297,28,28,39,35,0
76,2006,TEN,8,226,447,2596,13,19,2214,15,400,32,32,28,22,2
77,2005,TEN,4,358,594,3597,20,14,1525,8,421,32,30,29,23,1
78,2004,TEN,5,356,589,3616,27,19,1871,12,439,39,39,27,19,0
79,2003,TEN,12,315,502,3878,30,9,1623,11,324,44,43,37,32,1
80,2002,TEN,11,306,500,3320,22,15,1952,16,324,36,36,31,25,0
81,2001,TEN,7,307,515,3558,23,17,1794,12,388,35,34,28,20,1
82,2000,TEN,13,286,462,3266,18,16,2084,14,191,38,37,34,27,0
83,1999,TEN,13,304,527,3485,23,13,1811,19,324,43,43,25,21,4
84,1998,TEN,8,305,519,3291,16,10,1970,12,320,28,28,40,36,0
85,1997,TEN,8,220,420,2505,15,13,2414,17,310,32,32,35,27,0
86,2023,TAM,9,364,568,3812,28,10,1509,8,325,33,33,31,29,1
87,2022,TAM,8,499,751,4586,26,10,1308,5,358,25,24,38,31,0
88,2021,TAM,13,492,731,5229,43,12,1672,18,353,59,56,31,25,0
89,2020,TAM,11,410,626,4626,42,12,1519,16,355,57,52,31,28,1
90,2019,TAM,7,382,630,4845,33,30,1521,15,449,48,43,35,27,0
91,2018,TAM,5,408,625,5125,36,26,1523,11,464,44,40,27,20,0
92,2017,TAM,5,378,605,4366,26,14,1448,8,382,31,28,34,25,0
93,2016,TAM,9,355,578,3926,29,18,1616,8,369,34,32,31,22,1
94,2015,TAM,6,312,535,3852,22,15,2162,12,417,34,31,40,29,0
95,2014,TAM,2,301,531,3297,21,20,1375,7,410,31,31,24,20,0
96,2013,TAM,4,291,514,2820,22,12,1612,6,389,31,31,29,23,1
97,2012,TAM,7,311,566,3983,27,17,1837,13,394,39,39,33,28,0
98,2011,TAM,4,365,588,3650,17,24,1458,9,494,23,23,28,26,1
99,2010,TAM,10,306,494,3361,26,6,2001,9,318,36,36,28,23,0
100,2009,TAM,3,279,524,2973,18,29,1627,5,400,24,24,26,16,0
101,2008,TAM,9,355,562,3619,18,13,1837,13,323,36,35,38,32,0
102,2007,TAM,9,316,490,3357,18,8,1872,15,270,34,34,33,28,0
103,2006,TAM,4,296,535,2798,14,18,1523,6,353,23,22,22,17,0
104,2005,TAM,11,303,487,2890,17,14,1826,13,274,32,32,27,22,1
105,2004,TAM,5,340,512,3474,24,18,1489,9,304,33,32,24,15,0
106,2003,TAM,7,369,592,3805,27,22,1648,5,264,34,33,26,16,1
107,2002,TAM,12,348,567,3445,23,10,1557,6,196,32,32,39,32,2
108,2001,TAM,9,362,592,3323,13,12,1371,17,280,30,30,35,28,0
109,2000,TAM,10,237,433,2583,18,13,2066,18,269,42,42,34,28,1
110,1999,TAM,11,268,447,2478,18,16,1776,7,235,25,25,32,27,1
111,1998,TAM,8,234,449,2606,21,18,2148,12,295,30,29,28,21,0
112,1997,TAM,10,224,404,2442,21,12,1934,15,263,35,32,17,13,0
113,1996,TAM,6,274,494,2727,12,20,1589,8,293,19,18,32,25,0
114,1995,TAM,7,267,507,2955,5,20,1587,19,335,25,25,26,19,0
115,1994,TAM,6,271,491,3265,17,16,1489,8,351,20,20,35,23,0
116,1993,TAM,5,262,508,3021,19,25,1290,6,376,27,27,22,16,0
117,1992,TAM,5,299,511,3065,17,20,1706,12,365,33,33,22,12,0
118,1991,TAM,3,250,495,2572,13,29,1429,9,365,22,22,20,15,0
119,1990,TAM,6,245,448,2849,18,24,1626,7,367,27,27,27,23,0
120,1989,TAM,5,302,570,3335,23,28,1507,10,419,36,34,28,22,2
121,1988,TAM,5,253,512,3308,16,36,1753,11,350,28,28,30,21,1
