Rk,Season,Team,W,Completions,PassAttempts,PassYD,PassTD,Int,RushYD,RushTD,PointsAgainst,XPA,XPM,FGA,FGM,SafetiesByTeam
122,1987,TAM,4,264,517,3016,22,17,1365,7,360,33,31,24,19,0
123,1986,TAM,2,245,459,2498,13,25,1863,12,473,27,26,24,17,0
124,1985,TAM,2,269,508,3122,22,26,1644,11,448,32,30,32,22,0
125,1984,TAM,6,334,563,3545,22,23,1776,17,380,40,38,26,19,0
126,1983,TAM,2,300,528,3124,18,24,1353,9,380,29,25,24,10,0
127,1982,TAM,5,164,308,1943,9,11,952,6,178,14,14,23,18,0
128,1981,TAM,9,239,473,3429,20,14,1731,13,268,38,36,28,17,0
129,1980,TAM,5,256,530,3220,20,17,1839,9,341,32,31,23,16,0
130,1979,TAM,10,183,434,2612,19,26,2437,13,237,35,30,19,11,0
131,1978,TAM,5,151,361,1703,12,18,2098,16,259,29,25,24,14,0
132,1977,TAM,2,131,321,1269,3,30,1424,4,223,11,10,17,9,0
133,1976,TAM,0,181,376,1503,9,20,1503,5,412,14,11,17,8,0
134,2015,STL,7,273,473,2805,11,11,1956,16,330,29,27,31,21,1
135,2014,STL,6,327,515,3400,20,16,1635,11,354,35,34,30,24,0
136,2013,STL,7,301,506,3125,22,11,1752,10,364,34,34,28,26,1
137,2012,STL,7,332,557,3550,22,14,1714,5,348,26,26,31,23,1
138,2011,STL,2,292,549,2870,9,10,1667,7,407,18,18,28,21,2
139,2010,STL,7,354,590,3268,18,15,1578,9,328,27,26,39,33,1
140,2009,STL,1,312,543,2686,12,21,1784,4,436,16,16,24,19,0
141,2008,STL,2,292,520,2947,11,19,1649,8,465,19,19,36,31,0
142,2007,STL,3,333,574,3233,19,28,1527,5,438,25,25,32,24,1
143,2006,STL,8,371,592,3962,24,8,1805,13,381,35,35,37,32,0
144,2005,STL,6,392,599,4036,23,24,1535,13,429,36,36,31,27,1
145,2004,STL,8,372,580,4253,23,22,1624,11,392,32,32,24,19,0
146,2003,STL,12,377,600,3961,23,23,1496,19,328,46,46,42,39,1
147,2002,STL,7,408,635,4154,24,27,1405,11,369,37,37,25,19,0
148,2001,STL,14,379,551,4663,37,22,2027,20,273,58,58,29,23,0
149,2000,STL,10,380,587,5232,37,23,1843,26,471,58,58,27,24,0
150,1999,STL,13,343,530,4353,42,15,2059,13,242,64,64,28,20,1
151,1998,STL,4,314,556,3087,12,18,1385,17,378,26,25,26,20,0
152,1997,STL,5,271,526,3198,14,15,1563,15,359,32,32,37,25,0
153,1996,STL,6,249,481,2765,18,23,1607,10,409,31,30,25,21,1
154,1995,STL,7,366,632,3805,27,23,1431,5,418,31,30,28,17,1
155,1987,STL,7,305,529,3453,25,15,1873,15,368,46,44,27,14,0
156,1986,STL,4,293,516,2716,17,19,1787,8,351,26,23,24,11,0
157,1985,STL,5,296,534,3112,19,18,1974,14,414,34,33,28,13,1
158,1984,STL,9,347,566,4257,28,16,2088,21,345,51,48,35,23,0
159,1983,STL,8,267,460,2868,29,21,2277,15,428,47,45,28,15,1
160,1982,STL,5,129,240,1333,6,6,1209,10,170,16,15,13,8,0
161,1981,STL,7,253,477,2864,15,24,2213,20,408,37,36,32,19,0
162,1980,STL,5,239,470,2676,16,24,2183,19,350,37,35,23,14,0
163,1979,STL,5,248,492,2602,12,24,2582,24,358,40,31,26,12,0
164,1978,STL,6,252,508,3171,16,21,1954,14,296,30,27,22,11,1
165,1977,STL,7,195,366,2499,14,21,2042,19,287,36,35,16,7,0
166,1976,STL,10,220,392,2835,18,13,2301,17,267,35,33,27,20,0
167,1975,STL,11,187,355,2553,20,20,2402,19,276,42,41,24,19,0
168,1974,STL,10,201,391,2358,20,8,1956,12,218,36,30,22,13,0
169,1973,STL,4,210,394,2383,16,15,1671,13,365,31,31,32,23,0
